N.O.,descriptors
X141,HI_ count
X142,HI_ mean
X143,HI_ std
X144,HI_ min
X145,HI_ 0.25
X146,HI_ 0.5
X147,HI_ 0.75
X148,HI_ max 
X149,HBMS_ count
X150,HBMS_ mean
X151,HBMS_ std
X152,HBMS_ min
X153,HBMS_ 0.25
X154,HBMS_ 0.5
X155,HBMS_ 0.75
X156,HBMS_ max 
X157,ASI_ count
X158,ASI_ mean
X159,ASI_ std
X160,ASI_ min
X161,ASI_ 0.25
X162,ASI_ 0.5
X163,ASI_ 0.75
X164,ASI_ max 
X165,HBSS_ count
X166,HBSS_ mean
X167,HBSS_ std
X168,HBSS_ min
X169,HBSS_ 0.25
X170,HBSS_ 0.5
X171,HBSS_ 0.75
X172,HBSS_ max 
X173,DB_ count
X174,DB_ mean
X175,DB_ std
X176,DB_ min
X177,DB_ 0.25
X178,DB_ 0.5
X179,DB_ 0.75
X180,DB_ max 
X181,IoInt_ count
X182,IoInt_ mean
X183,IoInt_ std
X184,IoInt_ min
X185,IoInt_ 0.25
X186,IoInt_ 0.5
X187,IoInt_ 0.75
X188,IoInt_ max 
X189,HBMM_ count
X190,HBMM_ mean
X191,HBMM_ std
X192,HBMM_ min
X193,HBMM_ 0.25
X194,HBMM_ 0.5
X195,HBMM_ 0.75
X196,HBMM_ max 
X197,CPI_ count
X198,CPI_ mean
X199,CPI_ std
X200,CPI_ min
X201,CPI_ 0.25
X202,CPI_ 0.5
X203,CPI_ 0.75
X204,CPI_ max 
X205,AAI_ count
X206,AAI_ mean
X207,AAI_ std
X208,AAI_ min
X209,AAI_ 0.25
X210,AAI_ 0.5
X211,AAI_ 0.75
X212,AAI_ max 
